"runtime","title","vote_average","vote_count","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","TV.Movie","War","Western","log_budget","log_revenue","title_length","age"
178,"The Lord of the Rings: The Fellowship of the Ring",8,8705,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.3481100511175,20.5855753661917,49,6117
179,"The Lord of the Rings: The Two Towers",8,7487,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.1849584104313,20.6466951116272,37,5752
201,"The Lord of the Rings: The Return of the King",8.1,8064,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.3588053402343,20.8356020468769,45,5404
134,"Princess Mononoke",8.2,1983,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.0926552909565,18.8867724064241,17,7737
125,"Spirited Away",8.3,3840,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16.5235607590665,19.43200923671,13,6268
106,"O Brother, Where Art Thou?",7.3,1112,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0736070959858,18.0903462110326,26,6592
113,"Donnie Darko",7.7,3452,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,15.6072700271923,14.0549383976098,12,6451
134,"Brokeback Mountain",7.5,1480,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16.4545678875795,18.9975399263552,18,4763
120,"Crouching Tiger, Hidden Dragon",7.2,927,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16.6487239020205,19.1792679266937,30,6560
124,"Akira",7.8,773,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.8949520996441,13.2234224551282,5,11020
132,"Star Trek: The Motion Picture",6.2,530,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17.3708586194537,18.749984491095,29,14165
102,"Lost in Translation",7.3,1895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2018049190842,18.6006984489166,19,5496
113,"Star Trek II: The Wrath of Khan",7.3,675,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16.3004172077523,18.3881575522468,31,13255
152,"The Dark Knight",8.2,12002,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19.0358663830426,20.7278139227069,15,3715
105,"Star Trek III: The Search for Spock",6.4,434,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16.7058823158604,18.2814186766189,35,12527
