"","end_result","game","game_id","period","play","player","playoffs","score","season","shot_made","time","home_game","score1","score2","cur_score","opp_score","first_shot","missed_first","made_first","cur_time","losing","losing_alot","score_ratio","loss_sq","win_sq","prod1"
"34","89 - 92","CLE - MIA",270201014,4,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","78 - 78","2006 - 2007",1,"4:00",0,78,78,77,78,1,0,0,240,TRUE,FALSE,0.974683544303797,1156,1024,0
"35","117 - 98","MIA - MIL",270203015,3,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","50 - 55","2006 - 2007",1,"11:21",1,50,55,49,55,1,0,0,681,TRUE,FALSE,0.875,1156,1024,0
"36","117 - 98","MIA - MIL",270203015,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","51 - 55","2006 - 2007",1,"11:21",1,51,55,50,55,0,0,1,681,TRUE,FALSE,0.892857142857143,1156,1024,1
"37","117 - 98","MIA - MIL",270203015,3,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","65 - 63","2006 - 2007",1,"5:56",1,65,63,64,63,1,0,0,356,FALSE,FALSE,1,1156,1024,0
"38","117 - 98","MIA - MIL",270203015,3,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","65 - 63","2006 - 2007",0,"5:56",1,65,63,65,63,0,0,1,356,FALSE,FALSE,1.015625,1156,1024,1
"39","117 - 98","MIA - MIL",270203015,4,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","99 - 91","2006 - 2007",0,"7:54",1,99,91,99,91,1,0,0,474,FALSE,FALSE,1.07608695652174,1156,1024,0
"40","117 - 98","MIA - MIL",270203015,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","112 - 96","2006 - 2007",0,"4:00",1,112,96,112,96,1,0,0,240,FALSE,FALSE,1.15463917525773,1156,1024,0
"41","117 - 98","MIA - MIL",270203015,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","113 - 96","2006 - 2007",1,"4:00",1,113,96,112,96,0,1,0,240,FALSE,FALSE,1.15463917525773,1156,1024,0
"42","93 - 113","CHA - MIA",270205014,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","42 - 58","2006 - 2007",0,"1:45",0,42,58,58,42,1,0,0,105,FALSE,FALSE,1.34883720930233,1156,1024,0
"43","93 - 113","CHA - MIA",270205014,2,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","42 - 59","2006 - 2007",1,"1:45",0,42,59,58,42,0,1,0,105,FALSE,FALSE,1.34883720930233,1156,1024,0
"44","93 - 113","CHA - MIA",270205014,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","84 - 95","2006 - 2007",0,"6:07",0,84,95,95,84,1,0,0,367,FALSE,FALSE,1.11764705882353,1156,1024,0
"45","93 - 113","CHA - MIA",270205014,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","84 - 96","2006 - 2007",1,"6:07",0,84,96,95,84,0,1,0,367,FALSE,FALSE,1.11764705882353,1156,1024,0
"46","93 - 113","CHA - MIA",270205014,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","87 - 100","2006 - 2007",0,"4:43",0,87,100,100,87,1,0,0,283,FALSE,FALSE,1.13636363636364,1156,1024,0
"47","93 - 113","CHA - MIA",270205014,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","87 - 100","2006 - 2007",0,"4:43",0,87,100,100,87,0,1,0,283,FALSE,FALSE,1.13636363636364,1156,1024,0
"48","91 - 79","MIA - BOS",270207002,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","34 - 31","2006 - 2007",0,"5:37",1,34,31,34,31,1,0,0,337,FALSE,FALSE,1.0625,1156,1024,0
"49","91 - 79","MIA - BOS",270207002,2,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","35 - 31","2006 - 2007",1,"5:37",1,35,31,34,31,0,1,0,337,FALSE,FALSE,1.0625,1156,1024,0
"50","79 - 103","MIA - CLE",270209005,2,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","23 - 29","2006 - 2007",1,"8:45",1,23,29,22,29,1,0,0,525,TRUE,FALSE,0.733333333333333,1156,1024,0
"51","79 - 103","MIA - CLE",270209005,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","23 - 29","2006 - 2007",0,"8:45",1,23,29,23,29,0,0,1,525,TRUE,FALSE,0.766666666666667,1156,1024,1
"52","79 - 103","MIA - CLE",270209005,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","61 - 76","2006 - 2007",0,"9:37",1,61,76,61,76,1,0,0,577,TRUE,FALSE,0.792207792207792,1156,1024,0
"53","79 - 103","MIA - CLE",270209005,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","62 - 76","2006 - 2007",1,"9:37",1,62,76,61,76,0,1,0,577,TRUE,FALSE,0.792207792207792,1156,1024,0
"54","85 - 100","SA - MIA",270211014,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","9 - 9","2006 - 2007",1,"7:15",0,9,9,8,9,1,0,0,435,TRUE,FALSE,0.8,1156,1024,0
"55","85 - 100","SA - MIA",270211014,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","9 - 9","2006 - 2007",0,"7:15",0,9,9,9,9,0,0,1,435,FALSE,FALSE,0.9,1156,1024,0
"56","85 - 100","SA - MIA",270211014,3,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","50 - 54","2006 - 2007",1,"9:22",0,50,54,53,50,1,0,0,562,FALSE,FALSE,1.03921568627451,1156,1024,0
"57","102 - 112","MIA - HOU",270221010,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","88 - 103","2006 - 2007",0,"5:56",1,88,103,88,103,1,0,0,356,TRUE,FALSE,0.846153846153846,1156,1024,0
"58","102 - 112","MIA - HOU",270221010,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","89 - 103","2006 - 2007",1,"5:56",1,89,103,88,103,0,1,0,356,TRUE,FALSE,0.846153846153846,1156,1024,0
"59","102 - 112","MIA - HOU",270221010,4,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","92 - 103","2006 - 2007",1,"5:16",1,92,103,91,103,1,0,0,316,TRUE,FALSE,0.875,1156,1024,0
"60","102 - 112","MIA - HOU",270221010,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","94 - 106","2006 - 2007",0,"3:25",1,94,106,94,106,1,0,0,205,TRUE,FALSE,0.878504672897196,1156,1024,0
"61","102 - 112","MIA - HOU",270221010,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","94 - 106","2006 - 2007",0,"3:25",1,94,106,94,106,0,1,0,205,TRUE,FALSE,0.878504672897196,1156,1024,0
"62","100 - 112","MIA - DAL",270222006,1,"Shaquille O'Neal makes free throw 1 of 1","Shaquille O'Neal","regular","5 - 8","2006 - 2007",1,"8:30",1,5,8,4,8,1,0,0,510,TRUE,FALSE,0.444444444444444,1156,1024,0
"63","100 - 112","MIA - DAL",270222006,1,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","12 - 20","2006 - 2007",1,"3:16",1,12,20,11,20,1,0,0,196,TRUE,FALSE,0.523809523809524,1156,1024,0
"64","100 - 112","MIA - DAL",270222006,1,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","12 - 20","2006 - 2007",0,"3:16",1,12,20,12,20,0,0,1,196,TRUE,FALSE,0.571428571428571,1156,1024,1
"65","100 - 112","MIA - DAL",270222006,1,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","12 - 22","2006 - 2007",0,"2:55",1,12,22,12,22,1,0,0,175,TRUE,FALSE,0.521739130434783,1156,1024,0
"66","100 - 112","MIA - DAL",270222006,1,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","13 - 22","2006 - 2007",1,"2:55",1,13,22,12,22,0,1,0,175,TRUE,FALSE,0.521739130434783,1156,1024,0
"67","100 - 112","MIA - DAL",270222006,2,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","26 - 36","2006 - 2007",1,"8:14",1,26,36,25,36,1,0,0,494,TRUE,FALSE,0.675675675675676,1156,1024,0
"68","100 - 112","MIA - DAL",270222006,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","26 - 36","2006 - 2007",0,"8:14",1,26,36,26,36,0,0,1,494,TRUE,FALSE,0.702702702702703,1156,1024,1
"69","100 - 112","MIA - DAL",270222006,2,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","28 - 44","2006 - 2007",0,"6:28",1,28,44,28,44,1,0,0,388,TRUE,TRUE,0.622222222222222,1156,1024,0
"70","100 - 112","MIA - DAL",270222006,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","36 - 54","2006 - 2007",0,"2:57",1,36,54,36,54,1,0,0,177,TRUE,TRUE,0.654545454545455,1156,1024,0
"71","100 - 112","MIA - DAL",270222006,2,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","37 - 54","2006 - 2007",1,"2:57",1,37,54,36,54,0,1,0,177,TRUE,TRUE,0.654545454545455,1156,1024,0
"72","81 - 86","CLE - MIA",270225014,2,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","28 - 35","2006 - 2007",1,"4:41",0,28,35,34,28,1,0,0,281,FALSE,FALSE,1.17241379310345,1156,1024,0
"73","81 - 86","CLE - MIA",270225014,2,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","28 - 35","2006 - 2007",0,"4:41",0,28,35,35,28,0,0,1,281,FALSE,FALSE,1.20689655172414,1156,1024,0
"74","81 - 86","CLE - MIA",270225014,4,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","69 - 77","2006 - 2007",0,"5:22",0,69,77,77,69,1,0,0,322,FALSE,FALSE,1.1,1156,1024,0
"75","81 - 86","CLE - MIA",270225014,4,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","72 - 80","2006 - 2007",0,"2:46",0,72,80,80,72,1,0,0,166,FALSE,FALSE,1.0958904109589,1156,1024,0
"76","81 - 86","CLE - MIA",270225014,4,"Shaquille O'Neal misses free throw 2 of 2","Shaquille O'Neal","regular","72 - 80","2006 - 2007",0,"2:46",0,72,80,80,72,0,1,0,166,FALSE,FALSE,1.0958904109589,1156,1024,0
